Date,Sales
2018-01-01,357.0
2018-01-02,278.08902156685707
2018-01-03,259.1773694236835
2018-01-04,144.2643701007751
2018-01-05,241.34935060899437
2018-01-06,238.4316386798398
2018-01-07,257.5105630052579
2018-01-08,226.5854534771127
2018-01-09,263.65564142622696
2018-01-10,239.7204598609106
2018-01-11,191.77924370489004
2018-01-12,325.831330034555
2018-01-13,326.87605831543664
2018-01-14,378.91277063783446
2018-01-15,281.94081195150557
2018-01-16,255.959530299335
2018-01-17,249.96827704990238
2018-01-18,191.96640712886187
2018-01-19,344.9532792490538
2018-01-20,221.9282561392647
2018-01-21,218.89070477155548
2018-01-22,279.83999658707523
2018-01-23,383.77550772028144
2018-01-24,310.6966192214854
2018-01-25,236.60271727764467
2018-01-26,257.49319343132265
2018-01-27,339.367444797738
2018-01-28,294.2248742798261
2018-01-29,259.06489078123576
2018-01-30,293.8869094171857
2018-01-31,353.69035172310487
2018-02-01,429.47464586098295
2018-02-02,238.23922682335632
2018-02-03,276.9835366348585
2018-02-04,267.7070245512609
2018-02-05,172.40914725593504
2018-02-06,264.0893690536647
2018-02-07,259.74716206173946
2018-02-08,390.38200639826135
2018-02-09,316.99339036759744
2018-02-10,228.58081064291238
2018-02-11,366.14377244571523
2018-02-12,307.68178972235745
2018-02-13,226.19438531741804
2018-02-14,296.6810911439149
2018-02-15,298.14144835028094
2018-02-16,282.5750074840461
2018-02-17,337.98132865216627
2018-02-18,203.3599816779422
2018-02-19,322.71054625447226
2018-02-20,401.032612094585
2018-02-21,393.32577907719656
2018-02-22,409.58965739004253
2018-02-23,411.8238676687318
2018-02-24,435.0280411320738
2018-02-25,279.20181971363024
2018-02-26,398.3448561894449
2018-02-27,237.45681430190558
2018-02-28,313.5373688796941
2018-03-01,236.5862059537817
2018-03-02,414.60302286942806
2018-03-03,433.58752839414484
2018-03-04,342.5394428215841
2018-03-05,461.4584980713152
2018-03-06,315.34443778445495
2018-03-07,366.1970174151159
2018-03-08,367.0160043176411
2018-03-09,294.80117782959326
2018-03-10,385.5523293504699
2018-03-11,476.2692624161156
2018-03-12,298.95179276880424
2018-03-13,414.5997484229681
2018-03-14,352.2129697265484
2018-03-15,468.79130941794654
2018-03-16,392.3346326785554
2018-03-17,403.8428171808519
2018-03-18,402.3157531320336
2018-03-19,378.7533433131843
2018-03-20,281.15550311395396
2018-03-21,448.52216056274085
2018-03-22,282.8532563523653
2018-03-23,380.1487438612261
2018-03-24,402.408589169931
2018-03-25,315.6327710733967
2018-03-26,374.82128108841306
2018-03-27,436.9741234566692
2018-03-28,365.0913151432404
2018-03-29,313.17288583053653
2018-03-30,192.2188779077133
2018-03-31,308.2293464555517
2018-04-01,331.204359226809
2018-04-02,336.1439966220504
2018-04-03,309.0483516609681
2018-04-04,388.91752994919966
2018-04-05,331.7516496406559
2018-04-06,359.55084139537325
2018-04-07,406.31524833290445
2018-04-08,314.0450259812649
2018-04-09,346.7403422214527
2018-04-10,494.4013772275618
2018-04-11,417.02832340251035
2018-04-12,286.62138530940666
2018-04-13,359.18077959857715
2018-04-14,396.7067349302829
2018-04-15,437.1994918931515
2018-04-16,370.65930291835434
2018-04-17,330.0864321895594
2018-04-18,317.48115554869105
2018-04-19,398.8437603975318
2018-04-20,378.1745455952001
2018-04-21,328.473821351541
2018-04-22,346.7419091164682
2018-04-23,332.9791414652958
2018-04-24,400.18586198010223
2018-04-25,314.36242512716717
2018-04-26,384.5091961305262
2018-04-27,405.62655084168784
2018-04-28,382.71487560555954
2018-04-29,301.7745671226303
2018-04-30,431.80603230745976
2018-05-01,309.80968814352326
2018-05-02,374.78596153446506
2018-05-03,302.735289151813
2018-05-04,242.65811727920897
2018-05-05,359.5549016532102
2018-05-06,362.4261073007186
2018-05-07,339.272208373096
2018-05-08,359.09368797702473
2018-05-09,302.8910380021732
2018-05-10,295.6647589457292
2018-05-11,328.41535973386175
2018-05-12,452.1433575401766
2018-05-13,384.84927760123026
2018-05-14,303.5336530291667
2018-05-15,367.1970246215455
2018-05-16,303.83994066842814
2018-05-17,303.46295675679175
2018-05-18,381.06663557233946
2018-05-19,296.651546698779
2018-05-20,226.2182664146405
2018-05-21,270.76737748770586
2018-05-22,329.2994689671235
2018-05-23,329.81513597328234
2018-05-24,395.3149794855203
2018-05-25,276.7996061277422
